population,cohort,endpoint,threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,youden,N,events,non_events,sensitivity_low,sensitivity_high,specificity_low,specificity_high,PPV_low,PPV_high,NPV_low,NPV_high,missed_among_positive,missed_among_positive_low,missed_among_positive_high,missed_per100,missed_per100_low,missed_per100_high,unnecessary_per100,unnecessary_per100_low,unnecessary_per100_high,avoided_negative_per100,avoided_negative_per100_low,avoided_negative_per100_high
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.614,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.616,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.618,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.62,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.622,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.624,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.626,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.628,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.63,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.630957344480193,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.632,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.634,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.636,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.638,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.64,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.642,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.644,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.646,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.648,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.65,46,2,283,345,0.11764705882352941,0.9929824561403509,0.9583333333333334,0.45063694267515925,0.1106295149638803,676,391,285,0.08937043687528176,0.15336359391001572,0.974778609415189,0.9980734221016511,0.8602434412954456,0.9884981065106133,0.4121398804654969,0.4897342382165527,0.8823529411764706,0.8466364060899843,0.9106295631247183,51.03550295857988,47.271955820938786,54.787347832634424,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.652,46,2,283,345,0.11764705882352941,0.9929824561403509,0.9583333333333334,0.45063694267515925,0.1106295149638803,676,391,285,0.08937043687528176,0.15336359391001572,0.974778609415189,0.9980734221016511,0.8602434412954456,0.9884981065106133,0.4121398804654969,0.4897342382165527,0.8823529411764706,0.8466364060899843,0.9106295631247183,51.03550295857988,47.271955820938786,54.787347832634424,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.654,46,2,283,345,0.11764705882352941,0.9929824561403509,0.9583333333333334,0.45063694267515925,0.1106295149638803,676,391,285,0.08937043687528176,0.15336359391001572,0.974778609415189,0.9980734221016511,0.8602434412954456,0.9884981065106133,0.4121398804654969,0.4897342382165527,0.8823529411764706,0.8466364060899843,0.9106295631247183,51.03550295857988,47.271955820938786,54.787347832634424,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.656,45,2,283,346,0.11508951406649616,0.9929824561403509,0.9574468085106383,0.44992050874403816,0.10807197020684711,676,391,285,0.08713458623230291,0.15053412034420058,0.974778609415189,0.9980734221016511,0.8575147232210055,0.9882517240332106,0.4114635326256475,0.48898546748031735,0.8849104859335039,0.8494658796557996,0.9128654137676971,51.183431952662716,47.419294346644634,54.93419554315332,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.658,45,2,283,346,0.11508951406649616,0.9929824561403509,0.9574468085106383,0.44992050874403816,0.10807197020684711,676,391,285,0.08713458623230291,0.15053412034420058,0.974778609415189,0.9980734221016511,0.8575147232210055,0.9882517240332106,0.4114635326256475,0.48898546748031735,0.8849104859335039,0.8494658796557996,0.9128654137676971,51.183431952662716,47.419294346644634,54.93419554315332,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
